Las Vegas 4-Day Itinerary (REALISTIC TIMES)
拉斯维加斯4天行程表（实际时间）

# DAY 1: Arrival & Hotels Tour (RELAXED PACE)
第1天：抵达及酒店参观（轻松节奏）
⚠️ First day = jet lag + fatigue. Take your time. No rushing.

# DAY 2: Hotel & Attraction Tour (PACKED BUT REALISTIC)
第2天：酒店及景点参观（充实但现实）
⚠️ Day 2 is FULL. Wake up early. Wear very comfortable shoes. This is 10,000+ steps.

# DAY 3: Grand Canyon Tour (FULL DAY - RELAX)
第3天：大峡谷旅游（完整的日子）
⚠️ This day is LONG but mostly sitting in a vehicle/at viewpoints. Less walking, more sightseeing.

# DAY 4: Breakfast, Shopping & Departure (EASY)
第4天：早餐、购物和出发（轻松）

## Transportation Guide | 交通指南
Monorail (3-day pass): $29.95. Buy online at lvmonorail.com. Station: Inside LINQ Hotel. Does NOT go to airport or Vegas Sign. Takes 15-20 min between major stops
Walking between hotels: PLAN for 15-20 min between each property, NOT 5-10 min. You must cross pedestrian bridges, navigate through casinos, and walk at 80% speed due to crowds
Uber/Lyft: For Ellis Island, Wicket Spoon (optional), airport. Typical $8-15 per ride. Much cheaper than taxis
Comfortable shoes: ESSENTIAL. You will walk 10,000-15,000 steps on Day 2. Break in your shoes BEFORE the trip

## ⚠️ CRITICAL NOTES | 重要事项
Wynn Brunch Timing: THIS IS STRICT. They will NOT seat you after 11:30 AM. Work backwards from 11:30 to plan your morning. If you're late, you miss brunch
Day 2 is VERY PACKED: We removed Vegas Sign to give you time. If you want Vegas Sign, you'll need to cut something else (maybe Caesars Palace or MGM). Choose wisely
Hydration & breaks: I've added multiple 30-50 min rest breaks. USE THEM. Drink water constantly. Heat exhaustion is real in Vegas
Day 3 Wicket Spoon: This is OPTIONAL. After 12+ hours of driving on Day 3, you might just want to order room service and collapse. Make this decision when you get back to LINQ at 6pm. Listen to your body
Grand Canyon tour booking: Book NOW via Viator.com or GetYourGuide.com (~$200-230/person). Breakfast & lunch INCLUDED. Confirm pickup time at LINQ front desk on Day 1
High Roller: Opens 12:30 PM. Day rate cheaper (~$30-35 vs. $45+ at night). 30-minute ride
What to bring: Comfortable walking shoes, water bottle (refill at CVS), sunscreen, hat, sunglasses, light jacket for casinos (heavy AC)


Time | Location & Activity | Notes & Time Buffer
14:00-14:30 | LINQ Hotel - Check In LINQ酒店 - 入住 | Front desk might be busy. Allow 30 min (longer if crowds)
14:30-15:00 | CVS Pharmacy CVS药店 5-min walk from LINQ | Stock water, snacks, sunscreen. +10 min buffer for crowds/lines in store
15:00-15:50 | Flamingo Wildlife Habitat 火烈鸟野生动物园 FREE | Walk: 5 min | Allow 50 min total (walk + see animals + relax)
15:50-16:20 | Walk to Paris + Explore 往巴黎走 ✓ Looking for: Eiffel Tower, photos | 15 min walk including bridge crossing + navigation through casino. Walk at 80% pace, not rushing
16:20-17:05 | Bellagio Hotel & Casino 百乐宫酒店 ✓ Looking for: Conservatory, elegant lobby, fountains | 45 min. It's BIG. Give yourself time to see everything. Walk slowly
17:05-18:00 | Rest at Bellagio or LINQ 休息时间 | You've been walking 2+ hours. Sit, have water, catch breath. 55 min break
18:00-18:20 | Walk back to Gordon Ramsay LINQ Promenade方向 | 10 min walk
18:20-19:30 | Gordon Ramsay Fish & Chips - DINNER 晚餐 Cost: $25-35/person | Add 70 min for: wait to be seated (10 min), order (5 min), food prep (30 min), eating (25 min). Relax, enjoy
~19:45 | Return to LINQ Hotel 返回LINQ酒店 | Rest, hydrate, sleep early (jet lag)




Time | Location & Activity | Notes & Buffer
08:00-08:15 | Wake up, light breakfast at hotel 酒店轻早餐 | Quick coffee/pastry before heading out
08:15-08:30 | LINQ - Monorail Station Monorail出发 | Walk to monorail, get on. Use 3-day pass ($29.95)
08:30-08:50 | Monorail ride to Venetian 高铁到威尼斯人 | Monorail time ~15-20 min. Relax, sit
08:50-09:30 | The Venetian 威尼斯人酒店 ✓ Looking for: Grand Canal, gondolas, luxury design | Allow 40 min. It's HUGE. Walk through, see Grand Canal, take photos. Don't rush
09:30-10:10 | Treasure Island 金岛酒店 ✓ Looking for: Pirate ship exterior, classic Vegas | Walk south ~15 min. TI property walk ~25 min total. Quick one
10:10-10:45 | Walk to Wynn 往永利走 | 20-25 min walk (not direct, some bridge crossing needed). Take your time
10:45-11:15 | Wynn Property Walk 永利酒店漫步 ✓ Looking for: Gardens, elegant architecture | 30 min walk-through. See the beautiful gardens & lobby
11:15-12:45 | Wynn Buffet BRUNCH 永利自助早午餐 ⚠️ ARRIVE BY 11:30 MAX Cost: ~$60 | ⚠️ CRITICAL TIMING. Need to be seated by 11:30 latest (their rule). 90 min total: 10 min wait + 80 min eating (crab legs, seafood). If late, they won't seat you
12:45-13:10 | Walk to Sphere 往球体走 | 10-15 min walk from Wynn. Get water, hydrate
13:10-13:40 | Sphere - Exterior Photos 球体 ✓ Looking for: Giant LED ball, futuristic design | 30 min for photos & exploring exterior
13:40-14:30 | MAJOR REST BREAK 重要休息时间 | 50 min. Find AC, sit, eat a snack, drink water. You've been going 5+ hours. This is essential
14:30-14:50 | Walk back toward High Roller 往摩天轮走 | 10-15 min walk, find entrance, get tickets
14:50-15:40 | High Roller Observation Wheel 摩天轮 ✓ Looking for: 550-ft wheel, panoramic Strip views | Day rate ~$30-35. 50 min total: 10 min loading + 30 min ride + 10 min exit
15:40-16:10 | Monorail to MGM Grand area Monorail到MGM | 15-20 min monorail ride + get off + walk to start of south properties
16:10-16:45 | Luxor 卢克索酒店 ✓ Looking for: Black pyramid exterior, Egyptian design | Walk-through ~20-25 min. It's south of the main Strip, somewhat isolated
16:45-17:15 | Excalibur Excalibur酒店 ✓ Looking for: Medieval castle, towers, design | Walk ~15 min. Property walk ~15-20 min. Close to Luxor
17:15-17:50 | New York-New York 纽约-纽约酒店 ✓ Looking for: Brooklyn Bridge replica, Empire State, NYC street design, skyscrapers | Walk ~20 min. Property walk ~15 min. Great photos. SKIP Vegas Sign to save time
17:50-18:15 | MGM Grand MGM大酒店 ✓ Looking for: Huge property, grand casino, iconic Vegas | Walk ~15 min. Quick walk through ~15 min
18:15-18:50 | Caesars Palace Caesars宫殿 ✓ Looking for: Roman architecture, Forum Shops | Walk ~20 min north. See the Forum Shops, classic Vegas feel
18:50-19:20 | Aria Resort & Casino Aria酒店 ✓ Looking for: Sleek modern architecture, contemporary design | Walk ~15-20 min. Modern hotel, see lobby/design
19:20-19:50 | Rest break & head to Ellis Island 休息并往Ellis Island | 20 min walk from Aria to Ellis Island (off-Strip, 1 block west). Or Uber if exhausted ($5-8)
19:50-21:15 | Ellis Island Casino & Brewery - DINNER 晚餐 Cost: $15-25/person | Allow 85 min: 15 min wait/order + 60 min eating + 10 min finish. Huge portions, famous steak. Relax, you earned it
~21:30 | Return to LINQ Hotel 返回LINQ酒店 | You will be EXHAUSTED. Uber back (~$8). Sleep early




Time | Location & Activity | Notes & Buffer
06:00 | Wake up, light breakfast 早餐和准备 | Very early. Bring water, snacks, jacket, camera, hat, sunscreen
06:15-06:30 | Wait at LINQ Hotel for tour pickup LINQ酒店等待接车 | ⚠️ CONFIRM EXACT TIME at front desk on Day 1. Tour company usually picks up 6:30-7:00 am
06:30-07:30 | Pickup drive & depart 接车和出发 | ~30-45 min drive to meet tour group or start point
07:30-08:30 | Drive to Hoover Dam 往胡佛大坝开车 | ~45-60 min drive from Las Vegas
08:30-09:15 | Hoover Dam - Photo Stop 胡佛大坝 - 拍照 ✓ Looking for: Historic bridge, views, engineering | Allow 45 min. Photos, see the dam, learn history. Not a long stop
09:15-10:15 | Drive to Grand Canyon 往大峡谷开车 | ~60 min drive to West Rim
10:15-14:00 | Grand Canyon West Rim - Full Visit 大峡谷西缘 Eagle Point + Guano Point ✓ Looking for: Breathtaking views, canyon depth, geology | BREAKFAST INCLUDED ~10:30 am 3.5-4 hours at park LUNCH INCLUDED ~12:30-1 pm Walking on rim trails, photos, soak in the views. LOTS of time here
14:00-18:00 | Drive back to Las Vegas 往拉斯维加斯开车 | ~4 hour drive back to hotel
~18:00-18:30 | Arrive back at LINQ 返回LINQ酒店 | You will be TIRED. Long day. Rest in room
~19:00-20:00 | **OPTIONAL: Wicket Spoon Dinner (IF ENERGY) Wicket Spoon晚餐(如果有精力) ⚠️ REALISTIC: You may be TOO TIRED | ⚠️ DISTANCE: 10-15 min walk from LINQ (walkable, not far) ⚠️ ENERGY LEVEL: After 12+ hours of driving & sightseeing, you might just want room service ⚠️ DECISION: Only go if you genuinely feel rested at 7pm. Otherwise, order dinner in room and sleep




Time | Location & Activity | Notes & Buffer
08:00-09:15 | Village Pub & Cafe - BREAKFAST Breakfast | 早餐 Cost: ~$15 | Open 24/7. NY Steak & Eggs $14.99. HUGE portions. Allow 75 min: 10 min wait + 60 min eating. Relax, no rush
09:15-10:45 | Return to LINQ & Rest LINQ酒店休息 | 30 min. Shower, pack, recharge before shopping
10:45-11:45 | LINQ Promenade - Shopping & Souvenirs LINQ购物街 1 hour | Last-minute gifts, souvenirs, snacks. Shops are right here
11:45-12:00 | Check out of LINQ 退房 | Pack final items, check out with hotel. Standard check-out time is 11am, but you're close
12:00-12:30 | Wait for Uber / Get to airport 等待Uber/往机场 | Call Uber, allow 15 min for pickup
12:30-13:15 | Drive to airport 往机场开车 ~20-30 min drive | Average drive ~25 min depending on traffic
13:15-15:15 | Airport, check-in, security 机场程序 | ⚠️ ARRIVE 2+ HOURS BEFORE FLIGHT Allow 2 hours for check-in, security, walk to gate

